,longitude,latitude,propertyTaxRate,price,numPriceChanges,saleMonth,saleYear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,zipcode_median,clusters,cluster
0,-97.66307831,30.43063164,1.98,305000,5,9,2019,39,0,5,2,1,3,0,1,0,2601,1,0,1,1,1.266666667,2.666666667,1063,14,3.0,4,2,9,289700.0,0,pink
1,-97.66169739,30.4326725,1.98,295000,1,10,2020,29,0,1,2,0,0,0,0,0,1768,1,0,1,1,1.4,2.666666667,1063,14,2.0,4,1,8,289700.0,0,pink
2,-97.63977051,30.40974808,1.98,256125,1,7,2019,2,0,4,1,0,1,0,0,0,1478,0,2,1,1,1.2,3.0,1108,14,2.0,3,1,3,289700.0,0,pink
3,-97.66165924,30.43211174,1.98,240000,4,8,2018,9,0,0,2,0,0,0,0,0,1678,1,0,1,1,1.4,2.666666667,1063,14,2.0,3,1,8,289700.0,0,pink
4,-97.65686035,30.43736839,1.98,239900,3,10,2018,27,0,0,1,0,0,0,0,0,2132,1,0,1,1,1.133333333,4.0,1223,14,3.0,3,2,19,289700.0,0,pink
5,-97.65618134,30.43777466,1.98,309045,2,8,2020,2,0,3,1,2,2,0,0,0,1446,1,0,1,1,1.066666667,4.0,1223,14,2.0,3,1,1,289700.0,0,pink
6,-97.64339447,30.4146843,1.98,315000,2,6,2020,36,0,3,1,0,0,0,0,0,2432,1,0,1,1,1.233333333,3.666666667,1051,12,3.0,4,2,5,289700.0,0,pink
7,-97.65803528,30.43940353,1.98,219900,2,10,2018,21,0,3,1,0,0,0,0,0,1422,1,0,1,1,1.166666667,4.0,1223,14,3.0,3,2,19,289700.0,0,pink
8,-97.65795898,30.43909645,1.98,225000,1,9,2019,16,0,2,1,1,1,0,0,0,1870,1,0,1,1,1.166666667,4.0,1223,14,2.0,3,2,19,289700.0,0,pink
9,-97.63812256,30.16070175,1.98,194800,1,9,2018,23,0,3,2,0,0,0,0,0,1422,1,0,1,1,1.2,3.0,1615,14,3.0,3,2,8,199800.0,0,pink
10,-97.64328766,30.41493416,1.98,279900,2,8,2020,32,0,3,2,0,3,0,0,0,1580,1,0,1,1,1.2,3.666666667,1051,12,2.0,3,1,5,289700.0,0,pink
11,-97.63335419,30.159338,1.98,250000,1,4,2019,37,0,4,1,0,0,0,0,0,2281,1,0,1,1,1.2,3.0,1615,14,3.0,3,2,5,199800.0,0,pink
12,-97.62343597,30.16776848,1.98,239900,9,9,2020,28,0,4,2,1,0,0,0,0,1762,1,0,1,1,0.633333333,3.333333333,1626,14,2.0,4,1,16,199800.0,0,pink
13,-97.65058136,30.15428352,1.98,200000,1,12,2018,16,0,4,1,0,0,0,0,0,1326,1,0,1,1,1.833333333,3.0,1615,14,2.0,3,1,18,199800.0,0,pink
